longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-118.110.000,34.000.000,33.000.000,2.886.000.000,726.000.000,2.650.000.000,728.000.000,2.625.000,178.700.000.000
-122.530.000,37.970.000,52.000.000,1.560.000.000,451.000.000,700.000.000,419.000.000,2.512.500,270.800.000.000
-118.020.000,33.920.000,34.000.000,1.478.000.000,251.000.000,956.000.000,277.000.000,5.523.800,185.300.000.000
-118.050.000,33.930.000,31.000.000,894.000.000,203.000.000,883.000.000,190.000.000,3.677.100,141.500.000.000
-119.010.000,34.230.000,11.000.000,5.785.000.000,1.035.000.000,2.760.000.000,985.000.000,4.693.000,232.200.000.000
-119.320.000,36.200.000,15.000.000,1.562.000.000,275.000.000,961.000.000,287.000.000,3.423.100,83.300.000.000
-116.920.000,32.770.000,16.000.000,2.770.000.000,406.000.000,1.269.000.000,429.000.000,6.678.300,275.000.000.000
-118.060.000,34.150.000,37.000.000,1.980.000.000,226.000.000,697.000.000,226.000.000,15.000.100,500.001.000.000
-117.270.000,34.090.000,36.000.000,848.000.000,186.000.000,737.000.000,169.000.000,983.800,79.300.000.000
-118.230.000,34.130.000,48.000.000,1.308.000.000,286.000.000,835.000.000,294.000.000,4.289.100,214.800.000.000
-117.240.000,33.170.000,4.000.000,9.998.000.000,1.874.000.000,3.925.000.000,1.672.000.000,4.282.600,237.500.000.000
-121.910.000,37.440.000,24.000.000,1.212.000.000,251.000.000,799.000.000,242.000.000,5.080.800,212.500.000.000
-118.290.000,33.940.000,47.000.000,1.782.000.000,338.000.000,1.003.000.000,329.000.000,2.539.800,105.700.000.000
-121.350.000,38.000.000,6.000.000,1.649.000.000,369.000.000,732.000.000,350.000.000,3.423.100,123.800.000.000
-117.990.000,33.780.000,19.000.000,7.399.000.000,1.698.000.000,3.554.000.000,1.593.000.000,3.104.900,173.900.000.000
-120.990.000,37.700.000,14.000.000,9.849.000.000,1.887.000.000,4.356.000.000,1.780.000.000,3.587.700,160.900.000.000
-119.420.000,35.970.000,21.000.000,554.000.000,121.000.000,426.000.000,122.000.000,2.351.600,47.500.000.000
-122.210.000,37.800.000,39.000.000,2.003.000.000,500.000.000,1.109.000.000,464.000.000,3.068.200,156.500.000.000
-118.170.000,33.800.000,26.000.000,1.589.000.000,380.000.000,883.000.000,366.000.000,3.531.300,187.500.000.000
-117.900.000,34.090.000,39.000.000,1.726.000.000,333.000.000,892.000.000,335.000.000,4.340.900,191.800.000.000
-117.990.000,33.930.000,36.000.000,1.287.000.000,233.000.000,779.000.000,229.000.000,4.852.300,175.800.000.000
-121.420.000,38.720.000,10.000.000,3.054.000.000,528.000.000,1.932.000.000,510.000.000,3.090.300,91.900.000.000
-118.770.000,34.260.000,26.000.000,3.038.000.000,468.000.000,1.825.000.000,468.000.000,5.638.500,196.900.000.000
-121.930.000,37.330.000,44.000.000,1.449.000.000,291.000.000,676.000.000,282.000.000,3.575.000,292.200.000.000
-121.820.000,37.250.000,16.000.000,2.650.000.000,600.000.000,1.969.000.000,586.000.000,3.946.100,194.300.000.000
-122.290.000,37.560.000,36.000.000,805.000.000,140.000.000,445.000.000,139.000.000,5.822.100,289.400.000.000
-121.780.000,37.230.000,18.000.000,1.747.000.000,317.000.000,1.055.000.000,285.000.000,5.898.000,229.100.000.000
-118.410.000,34.000.000,35.000.000,1.062.000.000,305.000.000,1.026.000.000,307.000.000,2.715.300,265.500.000.000
-121.670.000,40.870.000,31.000.000,1.581.000.000,299.000.000,776.000.000,287.000.000,2.906.300,77.800.000.000
-118.000.000,33.920.000,26.000.000,2.830.000.000,399.000.000,1.204.000.000,404.000.000,6.127.300,289.600.000.000
-117.220.000,32.730.000,38.000.000,3.966.000.000,768.000.000,1.640.000.000,729.000.000,3.840.900,291.400.000.000
-121.080.000,37.690.000,19.000.000,6.473.000.000,1.212.000.000,3.559.000.000,1.123.000.000,3.224.600,129.300.000.000
-117.530.000,33.920.000,12.000.000,2.290.000.000,319.000.000,728.000.000,228.000.000,6.156.100,233.500.000.000
-117.460.000,34.080.000,18.000.000,3.830.000.000,750.000.000,2.767.000.000,702.000.000,3.660.200,120.700.000.000
-117.970.000,33.860.000,35.000.000,1.691.000.000,367.000.000,1.265.000.000,378.000.000,3.585.500,174.300.000.000
-121.920.000,37.330.000,52.000.000,2.125.000.000,382.000.000,930.000.000,387.000.000,5.283.100,299.500.000.000
-118.200.000,34.040.000,44.000.000,1.582.000.000,544.000.000,1.998.000.000,515.000.000,1.688.800,125.000.000.000
-118.060.000,33.800.000,22.000.000,1.892.000.000,442.000.000,1.015.000.000,404.000.000,4.137.900,212.500.000.000
-122.050.000,37.360.000,34.000.000,2.400.000.000,419.000.000,1.017.000.000,384.000.000,4.136.900,316.900.000.000
-123.790.000,39.500.000,24.000.000,1.421.000.000,291.000.000,588.000.000,274.000.000,2.325.000,157.300.000.000
-120.790.000,37.490.000,44.000.000,1.186.000.000,225.000.000,687.000.000,234.000.000,3.416.700,160.700.000.000
-121.890.000,37.350.000,47.000.000,2.879.000.000,631.000.000,2.229.000.000,606.000.000,3.259.900,183.100.000.000
-118.430.000,34.200.000,29.000.000,3.051.000.000,694.000.000,1.942.000.000,679.000.000,3.111.800,238.100.000.000
-118.750.000,34.170.000,18.000.000,6.217.000.000,858.000.000,2.703.000.000,834.000.000,6.807.500,325.900.000.000
-122.470.000,37.990.000,22.000.000,7.274.000.000,1.002.000.000,2.468.000.000,957.000.000,7.494.000,439.200.000.000
-120.690.000,37.400.000,46.000.000,860.000.000,130.000.000,496.000.000,147.000.000,3.516.700,137.500.000.000
-118.280.000,34.050.000,44.000.000,968.000.000,384.000.000,1.805.000.000,375.000.000,1.480.100,212.500.000.000
-118.440.000,34.250.000,35.000.000,1.583.000.000,324.000.000,1.481.000.000,351.000.000,3.700.000,176.000.000.000
-122.050.000,38.260.000,21.000.000,7.195.000.000,1.416.000.000,3.927.000.000,1.377.000.000,3.091.200,126.300.000.000
-121.990.000,37.350.000,18.000.000,1.712.000.000,509.000.000,972.000.000,467.000.000,4.397.100,238.900.000.000
-121.020.000,37.680.000,28.000.000,2.875.000.000,560.000.000,1.608.000.000,558.000.000,3.548.900,106.400.000.000
-119.850.000,36.740.000,35.000.000,1.191.000.000,190.000.000,537.000.000,182.000.000,3.537.500,96.700.000.000
-118.020.000,34.080.000,28.000.000,2.769.000.000,631.000.000,2.452.000.000,581.000.000,2.607.100,175.900.000.000
-123.520.000,41.010.000,17.000.000,1.564.000.000,345.000.000,517.000.000,222.000.000,2.154.200,83.800.000.000
-122.400.000,37.620.000,44.000.000,1.619.000.000,362.000.000,1.064.000.000,335.000.000,4.023.800,224.200.000.000
-118.130.000,34.150.000,24.000.000,1.125.000.000,341.000.000,579.000.000,321.000.000,2.812.500,141.700.000.000
-122.000.000,37.980.000,32.000.000,1.013.000.000,169.000.000,436.000.000,173.000.000,5.111.800,226.900.000.000
-118.450.000,34.250.000,36.000.000,1.453.000.000,270.000.000,808.000.000,275.000.000,4.383.900,204.600.000.000
-117.500.000,33.870.000,4.000.000,6.755.000.000,1.017.000.000,2.866.000.000,850.000.000,5.049.300,239.800.000.000
-122.220.000,37.840.000,50.000.000,2.935.000.000,473.000.000,1.031.000.000,479.000.000,7.500.000,295.200.000.000
-119.820.000,36.640.000,30.000.000,1.694.000.000,312.000.000,1.008.000.000,321.000.000,2.246.600,96.000.000.000
-120.210.000,36.770.000,20.000.000,1.745.000.000,348.000.000,1.093.000.000,302.000.000,2.319.400,90.600.000.000
-120.970.000,38.420.000,16.000.000,1.748.000.000,322.000.000,4.930.000.000,287.000.000,4.302.900,121.900.000.000
-121.190.000,38.870.000,20.000.000,3.118.000.000,500.000.000,1.405.000.000,519.000.000,6.000.000,209.400.000.000
-118.200.000,33.770.000,52.000.000,1.375.000.000,457.000.000,1.089.000.000,317.000.000,2.234.400,200.000.000.000
-118.300.000,34.020.000,49.000.000,2.120.000.000,483.000.000,1.522.000.000,416.000.000,1.850.000,116.800.000.000
-122.230.000,37.790.000,43.000.000,5.963.000.000,1.344.000.000,4.367.000.000,1.231.000.000,2.191.700,112.800.000.000
-121.310.000,38.620.000,31.000.000,3.114.000.000,430.000.000,1.121.000.000,456.000.000,6.244.000,240.000.000.000
-117.250.000,32.800.000,35.000.000,2.281.000.000,506.000.000,1.005.000.000,496.000.000,4.229.600,275.000.000.000
-118.260.000,33.990.000,36.000.000,2.016.000.000,505.000.000,1.807.000.000,464.000.000,1.690.100,103.500.000.000
-119.390.000,36.540.000,34.000.000,1.590.000.000,422.000.000,1.272.000.000,407.000.000,1.806.800,59.000.000.000
-121.510.000,38.520.000,30.000.000,3.236.000.000,588.000.000,1.167.000.000,569.000.000,4.097.200,181.400.000.000
-119.180.000,34.270.000,6.000.000,2.307.000.000,386.000.000,910.000.000,364.000.000,5.215.000,279.500.000.000
-118.180.000,33.770.000,30.000.000,1.418.000.000,439.000.000,720.000.000,417.000.000,2.637.100,159.400.000.000
-122.430.000,37.740.000,52.000.000,1.514.000.000,314.000.000,724.000.000,301.000.000,5.329.200,300.900.000.000
-117.930.000,33.910.000,24.000.000,1.698.000.000,297.000.000,676.000.000,273.000.000,5.201.700,364.600.000.000
-124.160.000,40.770.000,35.000.000,2.141.000.000,438.000.000,1.053.000.000,434.000.000,2.852.900,85.600.000.000
-117.950.000,33.630.000,27.000.000,2.489.000.000,481.000.000,1.082.000.000,443.000.000,5.877.700,358.800.000.000
-118.050.000,34.100.000,36.000.000,1.606.000.000,318.000.000,889.000.000,294.000.000,4.793.100,272.600.000.000
-116.970.000,32.810.000,19.000.000,1.573.000.000,471.000.000,844.000.000,414.000.000,2.142.200,125.000.000.000
-118.850.000,34.170.000,42.000.000,564.000.000,96.000.000,220.000.000,81.000.000,4.562.500,318.800.000.000
-117.730.000,33.630.000,15.000.000,2.874.000.000,592.000.000,1.382.000.000,586.000.000,5.513.700,161.800.000.000
-122.070.000,37.340.000,30.000.000,1.851.000.000,238.000.000,631.000.000,236.000.000,10.100.700,500.001.000.000
-117.180.000,33.020.000,15.000.000,3.540.000.000,453.000.000,1.364.000.000,425.000.000,13.662.300,500.001.000.000
-118.410.000,34.000.000,38.000.000,324.000.000,70.000.000,268.000.000,73.000.000,2.550.000,271.400.000.000
-121.960.000,37.300.000,20.000.000,4.228.000.000,1.006.000.000,2.334.000.000,1.007.000.000,4.308.100,227.300.000.000
-121.740.000,38.550.000,34.000.000,2.299.000.000,579.000.000,1.300.000.000,536.000.000,1.643.500,148.500.000.000
-118.210.000,33.920.000,28.000.000,2.949.000.000,1.003.000.000,4.551.000.000,930.000.000,1.902.600,131.900.000.000
-121.900.000,36.610.000,29.000.000,3.412.000.000,827.000.000,1.574.000.000,759.000.000,2.930.900,217.100.000.000
-117.810.000,33.840.000,17.000.000,4.343.000.000,515.000.000,1.605.000.000,484.000.000,10.598.100,460.100.000.000
-118.190.000,33.930.000,42.000.000,1.829.000.000,391.000.000,1.614.000.000,377.000.000,3.191.200,146.400.000.000
-120.930.000,37.730.000,14.000.000,2.799.000.000,618.000.000,2.294.000.000,596.000.000,2.634.300,81.500.000.000
-122.020.000,37.960.000,25.000.000,2.615.000.000,368.000.000,935.000.000,366.000.000,6.672.700,305.100.000.000
-122.470.000,37.790.000,52.000.000,2.844.000.000,623.000.000,1.380.000.000,596.000.000,4.750.000,500.001.000.000
-117.190.000,34.030.000,25.000.000,2.513.000.000,340.000.000,900.000.000,320.000.000,6.496.200,182.400.000.000
-117.240.000,32.800.000,28.000.000,1.072.000.000,331.000.000,692.000.000,321.000.000,2.135.700,187.500.000.000
-118.130.000,34.100.000,19.000.000,2.742.000.000,756.000.000,1.396.000.000,703.000.000,2.566.300,197.500.000.000
-122.420.000,37.730.000,50.000.000,3.426.000.000,769.000.000,2.261.000.000,671.000.000,2.888.000,246.400.000.000
-118.140.000,34.710.000,32.000.000,1.164.000.000,248.000.000,588.000.000,270.000.000,1.191.700,86.900.000.000
-119.760.000,36.750.000,39.000.000,2.233.000.000,563.000.000,2.031.000.000,491.000.000,1.864.100,50.800.000.000
-122.340.000,37.560.000,39.000.000,3.562.000.000,391.000.000,1.139.000.000,391.000.000,12.641.700,500.001.000.000
-122.450.000,40.460.000,16.000.000,2.734.000.000,501.000.000,1.413.000.000,484.000.000,2.808.500,105.700.000.000
-118.290.000,33.910.000,31.000.000,2.025.000.000,618.000.000,2.231.000.000,593.000.000,2.474.100,151.200.000.000
-118.320.000,33.910.000,34.000.000,3.041.000.000,677.000.000,1.920.000.000,640.000.000,4.530.400,181.300.000.000
-122.040.000,37.360.000,26.000.000,3.298.000.000,460.000.000,1.241.000.000,472.000.000,6.875.300,403.000.000.000
-117.390.000,34.100.000,12.000.000,7.184.000.000,1.516.000.000,4.862.000.000,1.235.000.000,2.449.200,103.800.000.000
-122.250.000,37.800.000,36.000.000,1.678.000.000,606.000.000,1.645.000.000,543.000.000,2.230.300,116.700.000.000
-117.980.000,34.100.000,22.000.000,5.661.000.000,1.209.000.000,5.389.000.000,1.178.000.000,3.772.700,159.700.000.000
-120.060.000,36.950.000,24.000.000,646.000.000,134.000.000,454.000.000,149.000.000,2.125.000,61.900.000.000
-121.470.000,39.490.000,17.000.000,1.554.000.000,242.000.000,553.000.000,230.000.000,3.217.400,91.800.000.000
-122.200.000,37.790.000,35.000.000,1.802.000.000,459.000.000,1.009.000.000,390.000.000,2.303.600,126.000.000.000
-117.230.000,32.750.000,23.000.000,2.415.000.000,653.000.000,1.275.000.000,596.000.000,3.138.900,101.800.000.000
-119.750.000,36.740.000,39.000.000,1.740.000.000,351.000.000,1.098.000.000,347.000.000,1.895.800,51.300.000.000
-117.920.000,34.030.000,35.000.000,1.341.000.000,233.000.000,898.000.000,216.000.000,4.111.800,157.300.000.000
-121.640.000,39.280.000,25.000.000,2.857.000.000,662.000.000,2.076.000.000,685.000.000,1.809.500,64.100.000.000
-117.140.000,32.720.000,45.000.000,1.140.000.000,310.000.000,840.000.000,339.000.000,1.615.600,156.300.000.000
-122.290.000,37.540.000,41.000.000,1.743.000.000,349.000.000,811.000.000,349.000.000,4.946.400,282.400.000.000
-117.910.000,33.940.000,15.000.000,5.799.000.000,842.000.000,2.314.000.000,787.000.000,6.343.300,350.500.000.000
-118.380.000,34.270.000,8.000.000,3.248.000.000,847.000.000,2.608.000.000,731.000.000,2.821.400,158.300.000.000
-122.030.000,37.600.000,24.000.000,2.077.000.000,383.000.000,1.488.000.000,389.000.000,4.572.100,214.700.000.000
-117.130.000,33.150.000,16.000.000,3.907.000.000,671.000.000,1.759.000.000,663.000.000,3.177.600,172.600.000.000
-118.280.000,34.000.000,42.000.000,855.000.000,284.000.000,890.000.000,247.000.000,1.277.800,112.500.000.000
-122.450.000,37.720.000,52.000.000,1.729.000.000,319.000.000,890.000.000,300.000.000,4.303.600,261.800.000.000
-119.770.000,36.770.000,38.000.000,3.065.000.000,658.000.000,1.441.000.000,625.000.000,2.056.400,64.700.000.000
-117.700.000,33.640.000,15.000.000,5.743.000.000,773.000.000,2.380.000.000,773.000.000,8.192.600,326.600.000.000
-117.070.000,32.790.000,36.000.000,3.583.000.000,642.000.000,1.711.000.000,602.000.000,3.974.500,170.800.000.000
-117.850.000,33.620.000,13.000.000,5.192.000.000,658.000.000,1.865.000.000,662.000.000,15.000.100,500.001.000.000
-117.760.000,33.710.000,15.000.000,1.010.000.000,350.000.000,470.000.000,342.000.000,3.222.900,108.300.000.000
-117.190.000,34.940.000,31.000.000,2.034.000.000,444.000.000,1.097.000.000,367.000.000,2.152.200,60.800.000.000
-120.970.000,37.690.000,15.000.000,4.065.000.000,841.000.000,1.986.000.000,680.000.000,3.072.000,114.300.000.000
-117.190.000,33.640.000,12.000.000,1.481.000.000,265.000.000,757.000.000,243.000.000,3.235.000,210.700.000.000
-118.380.000,33.910.000,36.000.000,2.904.000.000,515.000.000,1.463.000.000,534.000.000,5.837.400,289.600.000.000
-121.560.000,38.260.000,43.000.000,1.906.000.000,327.000.000,996.000.000,314.000.000,2.974.400,136.800.000.000
-118.960.000,35.870.000,17.000.000,1.668.000.000,307.000.000,888.000.000,277.000.000,3.779.400,96.200.000.000
-116.960.000,32.800.000,24.000.000,2.493.000.000,693.000.000,1.420.000.000,643.000.000,1.835.700,104.200.000.000
-118.270.000,33.940.000,30.000.000,1.764.000.000,397.000.000,1.406.000.000,362.000.000,1.449.000,93.100.000.000
-119.180.000,34.190.000,36.000.000,4.519.000.000,1.081.000.000,4.818.000.000,1.061.000.000,2.856.100,179.100.000.000
-118.230.000,33.900.000,28.000.000,1.108.000.000,284.000.000,1.498.000.000,289.000.000,2.470.600,88.800.000.000
-120.490.000,37.260.000,28.000.000,2.159.000.000,416.000.000,1.283.000.000,378.000.000,1.893.900,83.000.000.000
-121.430.000,38.640.000,34.000.000,2.010.000.000,411.000.000,1.501.000.000,422.000.000,2.041.700,65.900.000.000
-118.140.000,34.170.000,42.000.000,2.757.000.000,713.000.000,2.112.000.000,653.000.000,2.714.800,166.800.000.000
-119.090.000,35.410.000,12.000.000,3.449.000.000,522.000.000,1.754.000.000,551.000.000,5.623.500,130.600.000.000
-118.020.000,33.710.000,24.000.000,2.598.000.000,443.000.000,1.184.000.000,435.000.000,5.862.300,287.800.000.000
-121.530.000,39.060.000,20.000.000,561.000.000,109.000.000,308.000.000,114.000.000,3.302.100,70.800.000.000
-119.290.000,34.280.000,38.000.000,2.387.000.000,748.000.000,1.537.000.000,741.000.000,2.314.700,192.500.000.000
-121.840.000,37.340.000,33.000.000,1.019.000.000,191.000.000,938.000.000,215.000.000,4.092.900,165.000.000.000
-117.990.000,33.880.000,42.000.000,1.461.000.000,302.000.000,986.000.000,314.000.000,3.955.900,161.100.000.000
-122.240.000,37.550.000,3.000.000,6.164.000.000,1.175.000.000,2.198.000.000,975.000.000,6.741.300,435.900.000.000
-121.800.000,37.310.000,21.000.000,2.630.000.000,446.000.000,1.789.000.000,389.000.000,5.054.300,232.000.000.000
-117.430.000,34.080.000,13.000.000,4.563.000.000,1.187.000.000,2.475.000.000,1.019.000.000,2.118.900,121.700.000.000
-118.280.000,34.020.000,29.000.000,515.000.000,229.000.000,2.690.000.000,217.000.000,499.900,500.001.000.000
-117.300.000,33.060.000,31.000.000,2.128.000.000,520.000.000,1.049.000.000,485.000.000,4.027.000,290.000.000.000
-118.200.000,34.040.000,18.000.000,796.000.000,227.000.000,547.000.000,218.000.000,1.033.300,135.400.000.000
-117.630.000,34.110.000,30.000.000,2.674.000.000,428.000.000,1.404.000.000,456.000.000,4.296.900,165.600.000.000
-121.940.000,37.330.000,37.000.000,818.000.000,269.000.000,576.000.000,261.000.000,2.190.200,250.000.000.000
-118.070.000,33.930.000,5.000.000,906.000.000,187.000.000,1.453.000.000,158.000.000,4.125.000,171.900.000.000
-117.190.000,32.830.000,30.000.000,3.225.000.000,555.000.000,1.601.000.000,532.000.000,4.331.700,173.300.000.000
-118.210.000,33.890.000,42.000.000,1.739.000.000,370.000.000,1.104.000.000,297.000.000,2.212.500,120.700.000.000
-118.410.000,34.190.000,39.000.000,1.169.000.000,242.000.000,612.000.000,247.000.000,4.142.900,200.000.000.000
-117.000.000,32.800.000,29.000.000,2.045.000.000,398.000.000,912.000.000,368.000.000,3.018.900,144.100.000.000
-116.920.000,32.860.000,11.000.000,2.204.000.000,518.000.000,1.472.000.000,497.000.000,2.369.300,127.000.000.000
-121.040.000,38.950.000,22.000.000,1.931.000.000,445.000.000,1.009.000.000,407.000.000,2.750.000,153.200.000.000
-122.120.000,37.450.000,38.000.000,1.276.000.000,314.000.000,955.000.000,287.000.000,2.009.600,155.700.000.000
-119.480.000,36.540.000,28.000.000,2.112.000.000,363.000.000,1.011.000.000,335.000.000,4.222.200,108.900.000.000
-121.020.000,37.680.000,25.000.000,3.262.000.000,588.000.000,1.834.000.000,578.000.000,3.996.000,114.500.000.000
-123.280.000,40.770.000,25.000.000,767.000.000,206.000.000,301.000.000,121.000.000,1.625.000,79.200.000.000
-122.890.000,39.110.000,10.000.000,1.588.000.000,333.000.000,585.000.000,254.000.000,2.255.100,71.100.000.000
-122.040.000,37.970.000,21.000.000,6.445.000.000,1.839.000.000,3.621.000.000,1.735.000.000,2.584.100,112.500.000.000
-118.080.000,33.810.000,21.000.000,1.189.000.000,281.000.000,577.000.000,264.000.000,3.315.500,237.500.000.000
-118.310.000,34.090.000,36.000.000,787.000.000,420.000.000,1.506.000.000,360.000.000,1.241.200,216.700.000.000
-122.160.000,37.750.000,35.000.000,667.000.000,140.000.000,406.000.000,133.000.000,3.804.700,94.300.000.000
-121.610.000,38.380.000,37.000.000,1.365.000.000,276.000.000,952.000.000,268.000.000,4.037.000,156.900.000.000
-122.100.000,37.680.000,31.000.000,1.892.000.000,428.000.000,1.162.000.000,389.000.000,3.125.000,167.100.000.000
-122.280.000,37.870.000,49.000.000,2.026.000.000,548.000.000,963.000.000,521.000.000,1.980.500,173.700.000.000
-116.910.000,34.240.000,23.000.000,6.379.000.000,1.636.000.000,1.350.000.000,568.000.000,1.633.600,124.500.000.000
-121.830.000,37.280.000,33.000.000,1.115.000.000,250.000.000,1.168.000.000,261.000.000,3.900.900,178.600.000.000
-118.300.000,33.810.000,17.000.000,5.544.000.000,1.068.000.000,3.008.000.000,1.038.000.000,5.322.000,282.700.000.000
-117.960.000,33.700.000,23.000.000,4.417.000.000,740.000.000,1.865.000.000,693.000.000,5.342.800,279.300.000.000
-122.140.000,40.070.000,31.000.000,2.053.000.000,465.000.000,1.193.000.000,447.000.000,1.492.300,44.400.000.000
-121.440.000,38.730.000,25.000.000,1.287.000.000,224.000.000,727.000.000,236.000.000,4.739.600,135.500.000.000
-122.260.000,37.550.000,17.000.000,4.576.000.000,814.000.000,1.941.000.000,807.000.000,5.957.200,443.800.000.000
-121.640.000,37.140.000,14.000.000,5.487.000.000,1.024.000.000,2.823.000.000,979.000.000,4.175.000,229.800.000.000
-117.180.000,34.480.000,8.000.000,3.561.000.000,691.000.000,2.156.000.000,659.000.000,2.777.800,86.900.000.000
-122.280.000,38.340.000,44.000.000,1.066.000.000,190.000.000,416.000.000,174.000.000,3.638.900,304.000.000.000
-117.900.000,33.600.000,25.000.000,2.465.000.000,585.000.000,906.000.000,472.000.000,3.653.800,500.001.000.000
-122.180.000,37.780.000,33.000.000,142.000.000,31.000.000,575.000.000,47.000.000,3.875.000,225.000.000.000
-121.490.000,38.510.000,30.000.000,3.166.000.000,607.000.000,1.857.000.000,579.000.000,3.176.800,79.500.000.000
-118.190.000,33.910.000,43.000.000,1.531.000.000,357.000.000,1.509.000.000,376.000.000,2.635.400,128.100.000.000
-118.270.000,34.100.000,50.000.000,2.113.000.000,398.000.000,793.000.000,418.000.000,4.713.200,304.600.000.000
-121.440.000,38.610.000,34.000.000,172.000.000,38.000.000,149.000.000,55.000.000,2.644.200,55.000.000.000
-121.910.000,37.430.000,33.000.000,2.791.000.000,496.000.000,1.714.000.000,485.000.000,4.830.400,224.900.000.000
-117.860.000,33.720.000,31.000.000,1.194.000.000,297.000.000,1.602.000.000,306.000.000,2.333.300,157.700.000.000
-118.350.000,33.920.000,29.000.000,736.000.000,232.000.000,584.000.000,231.000.000,3.616.700,200.000.000.000
-117.260.000,33.840.000,12.000.000,1.159.000.000,209.000.000,523.000.000,159.000.000,2.723.200,123.200.000.000
-122.430.000,37.730.000,52.000.000,3.602.000.000,738.000.000,2.270.000.000,647.000.000,3.893.400,251.800.000.000
